iter	Passed	Remaining
142	396	2374
143	397	2360
144	397	2346
145	398	2333
146	399	2319
147	402	2314
148	403	2305
149	405	2295
150	406	2282
151	407	2271
152	408	2259
153	409	2246
154	409	2234
155	410	2223
156	411	2211
157	412	2199
158	413	2187
159	414	2175
160	414	2162
161	417	2161
162	419	2151
163	419	2140
164	420	2129
165	421	2119
166	422	2108
167	423	2098
168	424	2088
169	425	2078
170	426	2068
171	427	2058
172	428	2047
173	429	2038
174	430	2029
175	433	2027
176	434	2018
177	435	2010
178	436	2003
179	438	1995
180	439	1986
181	440	1977
182	440	1968
183	441	1959
184	442	1949
185	443	1940
186	444	1931
187	444	1921
188	447	1920
189	448	1913
190	449	1905
191	451	1898
192	451	1889
193	452	1881
194	453	1872
195	454	1865
196	455	1857
197	456	1849
198	457	1841
199	458	1834
200	459	1825
201	460	1817
202	462	1817
203	464	1811
204	465	1804
205	466	1797
206	467	1790
207	468	1782
208	469	1775
209	469	1768
210	470	1760
211	471	1753
212	472	1746
213	473	1739
214	474	1732
215	475	1725
216	477	1723
217	479	1718
218	480	1712
219	481	1705
220	482	1699
221	483	1693
222	484	1686
223	485	1680
224	486	1674
225	487	1668
226	488	1662
227	489	1656
228	490	1650
229	493	1650
230	494	1645
231	495	1639
232	496	1633
233	497	1627
234	498	1621
235	499	1618
236	501	1613
237	502	1607
238	503	1602
239	504	1596
240	505	1591
241	507	1590
242	508	1585
243	509	1579
244	510	1573
245	511	1568
246	513	1564
247	513	1558
248	514	1553
249	515	1547
250	516	1541
251	517	1536
252	518	1531
253	519	1525
254	520	1521
255	523	1520
256	526	1520
257	527	1516
258	528	1512
259	529	1508
260	531	1503
261	532	1499
262	533	1495
263	534	1491
264	538	1494
265	540	1491
266	541	1486
267	542	1482
268	543	1477
269	544	1473
270	545	1468
271	546	1463
272	548	1459
273	549	1456
274	552	1456
275	554	1453
276	555	1449
277	557	1446
278	558	1443
279	559	1439
280	561	1435
281	562	1432
282	563	1428
283	564	1423
284	568	1426
285	569	1422
286	571	1418
287	572	1415
288	573	1410
289	574	1406
290	575	1403
291	577	1399
292	578	1395
293	579	1391
294	582	1390
295	583	1387
296	584	1383
297	585	1379
298	586	1375
299	588	1372
300	589	1369
301	590	1365
302	591	1360
303	592	1356
304	593	1352
305	594	1347
306	596	1347
307	598	1343
308	599	1340
309	600	1336
310	601	1332
311	602	1328
312	603	1323
313	603	1319
314	604	1315
315	605	1310
316	606	1306
317	607	1302
318	607	1297
319	608	1293
320	609	1289
321	612	1289
322	613	1286
323	614	1282
324	615	1278
325	616	1275
326	617	1271
327	618	1267
328	619	1263
329	620	1259
330	621	1256
331	622	1252
332	623	1248
333	624	1244
334	625	1242
335	627	1240
336	628	1236
337	629	1233
338	630	1230
339	632	1227
340	633	1224
341	635	1221
342	635	1218
343	636	1214
344	637	1211
345	638	1207
346	641	1206
347	642	1203
348	643	1200
349	644	1197
350	645	1193
351	646	1189
352	647	1186
353	648	1182
354	648	1179
355	649	1175
356	650	1171
357	651	1168
358	652	1164
359	653	1161
360	654	1158
361	656	1157
362	658	1154
363	659	1151
364	659	1148
365	660	1144
366	661	1141
367	662	1137
368	663	1134
369	664	1131
370	665	1127
371	665	1124
372	667	1121
373	667	1117
374	668	1114
375	669	1111
376	671	1110
377	672	1107
378	674	1104
379	675	1101
380	676	1098
381	676	1095
382	677	1091
383	678	1088
384	679	1085
385	680	1082
386	681	1079
387	682	1075
388	682	1072
389	683	1069
390	685	1068
391	687	1065
392	688	1063
393	689	1060
394	690	1057
395	691	1054
396	691	1050
397	692	1047
398	693	1044
399	694	1041
400	695	1038
401	696	1035
402	697	1032
403	698	1029
404	698	1026
405	701	1026
406	702	1023
407	703	1020
408	704	1017
409	705	1014
410	706	1011
411	706	1008
412	707	1006
413	708	1003
414	709	1000
415	710	996
416	710	994
417	711	991
418	712	988
419	713	985
420	715	983
421	716	982
422	718	979
423	718	976
424	719	973
425	720	971
426	721	968
427	722	965
428	723	962
429	724	959
430	724	957
431	725	954
432	726	951
433	727	948
434	728	945
435	730	944
436	732	943
437	733	941
438	734	938
439	735	936
440	736	933
441	737	930
442	737	927
443	738	924
444	739	922
445	740	919
446	741	917
447	742	914
448	743	911
449	745	910
450	746	908
451	747	906
452	748	903
453	749	901
454	750	898
455	750	895
456	751	893
457	752	890
458	753	887
459	754	885
460	755	882
461	755	880
462	756	877
463	757	875
464	758	872
465	762	874
466	764	872
467	765	869
468	766	867
469	767	864
470	767	862
471	768	859
472	769	857
473	770	854
474	771	852
475	771	849
476	773	847
477	775	847
478	777	845
479	778	843
480	779	840
481	780	838
482	780	835
483	781	833
484	782	830
485	783	828
486	784	826
487	785	823
488	786	821
489	786	819
490	787	816
491	788	814
492	791	814
493	792	811
494	793	809
495	794	807
496	795	805
497	796	803
498	798	801
499	798	798
500	799	796
501	800	794
502	801	792
503	802	790
504	805	789
505	806	787
506	807	785
507	808	783
508	809	781
509	810	779
510	811	776
511	812	774
512	813	772
513	814	770
514	815	768
515	816	766
516	817	764
517	818	762
518	821	761
519	822	759
520	823	757
521	824	755
522	825	753
523	826	750
524	827	748
525	828	746
526	829	744
527	830	742
528	831	740
529	832	738
530	834	736
531	836	736
532	838	734
533	839	732
534	839	730
535	840	727
536	841	725
537	842	723
538	843	721
539	844	719
540	845	717
541	847	715
542	848	713
543	850	712
544	852	711
545	854	710
546	856	708
547	857	707
548	858	705
549	860	703
550	861	702
551	863	700
552	867	701
553	869	699
554	870	698
555	872	696
556	873	695
557	876	694
558	877	692
559	882	693
560	885	692
561	887	691
562	888	689
563	890	688
564	891	686
565	893	684
566	896	684
567	900	684
568	903	683
569	904	682
570	906	680
571	908	679
572	914	681
573	916	679
574	918	678
575	921	678
576	923	677
577	925	675
578	928	674
579	929	672
580	930	670
581	934	670
582	935	669
583	936	667
584	938	666
585	940	664
586	944	664
587	945	662
588	947	660
589	948	659
590	950	657
591	951	655
592	952	653
593	953	652
594	956	650
595	959	650
596	960	648
597	962	646
598	963	644
599	964	643
600	965	641
601	967	639
602	969	638
603	973	637
604	974	636
605	975	634
606	976	632
607	978	630
608	979	628
609	980	626
610	981	625
611	982	623
612	983	621
613	986	620
614	988	618
615	989	616
616	990	614
617	991	613
618	993	611
619	994	609
620	995	607
621	997	606
622	998	604
623	1001	603
624	1003	601
625	1004	600
626	1005	598
627	1006	596
628	1008	594
629	1009	592
630	1011	591
631	1012	589
632	1013	587
633	1015	586
634	1017	584
635	1019	583
636	1020	581
637	1022	580
638	1024	578
639	1025	576
640	1027	575
641	1028	573
642	1031	572
643	1034	571
644	1036	570
645	1037	568
646	1039	567
647	1044	567
648	1047	566
649	1049	565
650	1051	563
651	1053	562
652	1055	560
653	1056	559
654	1058	557
655	1060	556
656	1062	554
657	1064	553
658	1066	551
659	1067	550
660	1069	548
661	1071	546
662	1073	545
663	1075	544
664	1077	542
665	1078	541
666	1080	539
667	1082	537
668	1084	536
669	1085	534
670	1088	533
671	1090	532
672	1093	531
673	1095	529
674	1097	528
675	1099	527
676	1101	525
677	1104	524
678	1106	523
679	1108	521
680	1109	519
681	1111	518
682	1113	516
683	1115	515
684	1117	513
685	1126	515
686	1128	514
687	1129	512
688	1131	510
689	1134	509
690	1140	509
691	1142	508
692	1145	507
693	1148	506
694	1150	504
695	1152	503
696	1153	501
697	1155	499
698	1156	497
699	1157	496
700	1158	494
701	1162	493
702	1163	491
703	1165	489
704	1166	488
705	1167	486
706	1169	484
707	1171	482
708	1172	481
709	1174	479
710	1175	477
711	1177	476
712	1178	474
713	1179	472
714	1180	470
715	1182	468
716	1183	466
717	1184	465
718	1185	463
719	1186	461
720	1187	459
721	1187	457
722	1189	455
723	1191	454
724	1192	452
725	1193	450
726	1194	448
727	1195	446
728	1196	444
729	1197	443
730	1199	441
731	1200	439
732	1201	437
733	1201	435
734	1202	433
735	1203	431
736	1205	430
737	1206	428
738	1207	426
739	1208	424
740	1209	422
741	1210	420
742	1210	418
743	1211	416
744	1212	415
745	1213	413
746	1214	411
747	1214	409
748	1215	407
749	1216	405
750	1217	403
751	1218	401
752	1219	400
753	1220	398
754	1221	396
755	1222	394
756	1223	392
757	1224	390
758	1225	389
759	1226	387
760	1227	385
761	1228	383
762	1228	381
763	1229	379
764	1230	378
765	1231	376
766	1232	374
767	1233	372
768	1233	370
769	1236	369
770	1236	367
771	1237	365
772	1238	363
773	1239	361
774	1239	359
775	1240	358
776	1241	356
777	1242	354
778	1243	352
779	1243	350
780	1244	349
781	1245	347
782	1246	345
783	1247	343
784	1248	341
785	1249	340
786	1251	338
787	1252	336
788	1253	335
789	1253	333
790	1254	331
791	1255	329
792	1256	328
793	1257	326
794	1258	324
795	1259	322
796	1260	321
797	1261	319
798	1262	317
799	1263	315
800	1266	314
801	1267	312
802	1268	311
803	1269	309
804	1270	307
805	1271	306
806	1272	304
807	1273	302
808	1274	300
809	1275	299
810	1276	297
811	1277	295
812	1278	294
813	1280	292
814	1281	290
815	1283	289
816	1284	287
817	1285	285
818	1285	284
819	1287	282
820	1288	280
821	1289	279
822	1291	277
823	1292	276
824	1293	274
825	1295	272
826	1296	271
827	1298	269
828	1299	267
829	1300	266
830	1301	264
831	1302	262
832	1303	261
833	1304	259
834	1304	257
835	1305	256
836	1307	254
837	1308	252
838	1310	251
839	1311	249
840	1312	248
841	1313	246
842	1314	244
843	1315	243
844	1316	241
845	1317	239
846	1318	238
847	1319	236
848	1320	234
849	1321	233
850	1322	231
851	1323	229
852	1325	228
853	1326	226
854	1327	225
855	1328	223
856	1329	221
857	1330	220
858	1331	218
859	1332	216
860	1333	215
861	1334	213
862	1335	212
863	1336	210
864	1337	208
865	1338	207
866	1339	205
867	1341	203
868	1342	202
869	1343	200
870	1344	199
871	1345	197
872	1346	195
873	1347	194
874	1347	192
875	1348	190
876	1349	189
877	1350	187
878	1351	186
879	1352	184
880	1353	182
881	1355	181
882	1356	179
883	1357	178
884	1358	176
885	1359	174
886	1360	173
887	1361	171
888	1362	170
889	1363	168
890	1364	166
891	1365	165
892	1366	163
893	1367	162
894	1368	160
895	1370	159
896	1371	157
897	1372	155
898	1373	154
899	1374	152
900	1375	151
901	1376	149
902	1377	147
903	1378	146
904	1379	144
905	1380	143
906	1381	141
907	1382	140
908	1383	138
909	1384	136
910	1386	135
911	1387	133
912	1388	132
913	1389	130
914	1390	129
915	1391	127
916	1392	126
917	1393	124
918	1394	122
919	1395	121
920	1396	119
921	1396	118
922	1397	116
923	1398	115
924	1400	113
925	1401	112
926	1402	110
927	1403	108
928	1404	107
929	1405	105
930	1406	104
931	1407	102
932	1408	101
933	1410	99
934	1410	98
935	1411	96
936	1412	94
937	1413	93
938	1414	91
939	1416	90
940	1417	88
941	1417	87
942	1418	85
943	1419	84
944	1420	82
945	1421	81
946	1422	79
947	1423	78
948	1423	76
949	1424	74
950	1425	73
951	1426	71
952	1427	70
953	1428	68
954	1428	67
955	1429	65
956	1431	64
957	1432	62
958	1433	61
959	1434	59
960	1435	58
961	1435	56
962	1436	55
963	1437	53
964	1438	52
965	1439	50
966	1439	49
967	1440	47
968	1441	46
969	1442	44
970	1443	43
971	1444	41
972	1444	40
973	1446	38
974	1447	37
975	1448	35
976	1449	34
977	1450	32
978	1451	31
979	1451	29
980	1452	28
981	1453	26
982	1454	25
983	1455	23
984	1456	22
985	1456	20
986	1457	19
987	1458	17
988	1459	16
989	1459	14
990	1461	13
991	1462	11
992	1463	10
993	1464	8
994	1465	7
995	1466	5
996	1467	4
997	1468	2
998	1469	1
999	1470	0
